Target uniprot,Name,Small molecule,Description,IUPAC name,Affected organism
P14867; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88,Methyprylon,true,"Methyprylon is a sedative of the piperidinedione derivative family that was previously used for the treatment of insomnia. However, with the introduction of newer drugs with fewer side effects, such as benzodiazepines, the clinical use of methyprylon is now limited. Methyprylon was withdrawn from the U.S. market in June 1965 and the Canadian market in September 1990 due to adverse events.","3,3-diethyl-5-methylpiperidine-2,4-dione",Humans and other mammals
P14867; Q15842; Q14654; P11712; P08684; P05181,Thiamylal,true,"A barbiturate that is administered intravenously for the production of complete anesthesia of short duration, for the induction of general anesthesia, or for inducing a hypnotic state. (From Martindale, The Extra Pharmacopoeia, 30th ed, p919)","5-(pentan-2-yl)-5-(prop-2-en-1-yl)-2-sulfanylidene-1,3-diazinane-4,6-dione",Humans and other mammals
P14867; P11712; P33261; P23219; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002,Hexobarbital,true,A barbiturate that is effective as a hypnotic and sedative.,"5-(cyclohex-1-en-1-yl)-1,5-dimethyl-1,3-diazinane-2,4,6-trione",Humans and other mammals
P14867; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002,Barbituric acid derivative,true,,"2-sulfanylidene-5-({5-[2-(trifluoromethyl)phenyl]furan-2-yl}methyl)-1,3-diazinane-4,6-dione",""
P14867; P47869; P34903; P31644; Q8N1C3; P18507; Q99928; P18505; P47870; P28472; O14764; P78334; O00591; P24046; P28476; A8MPY1; P20813; P33260; P33261; P08684,Clotiazepam,true,"Clotiazepam is a benzodiazepine derivative, not approved for sale in the U.S. or Canada, but has been approved in the U.K. It is a schedule IV drug in Canada.","5-(2-chlorophenyl)-7-ethyl-1-methyl-1H,2H,3H-thieno[2,3-e][1,4]diazepin-2-one",Humans and other mammals
P47869; P14867; P34903; P31644; Q8N1C3; P18507; Q99928; P18505; P47870; P28472; O14764; P78334; O00591; P24046; P28476; A8MPY1,Fludiazepam,true,"Fludiazepam is a drug which is a benzodiazepine derivative. It possesses anxiolytic, anticonvulsant, sedative and skeletal muscle relaxant properties. It is a scheduled drug in the U.S., but is approved for use in Japan.","7-chloro-5-(2-fluorophenyl)-1-methyl-2,3-dihydro-1H-1,4-benzodiazepin-2-one",Humans and other mammals
P14867; P47869; P34903; P31644; Q8N1C3; P18507; Q99928; P18505; P28472; O14764; P78334; O00591; P24046; P28476; A8MPY1; P33261; P11712; P08684; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P20813,Quazepam,true,Quazepam is a drug which is a benzodiazepine derivative. It induces impairment of motor function and has hypnotic properties. Quazepam is used to treat insomnia.,"7-chloro-5-(2-fluorophenyl)-1-(2,2,2-trifluoroethyl)-2,3-dihydro-1H-1,4-benzodiazepine-2-thione",Humans and other mammals
P14867; P47869; P34903; P48169; P31644; Q16445,Ganaxolone,true,"Ganaxolone is the 3β-methylated synthetic analog of allopregnanolone; it belongs to a class of compounds referred to as neurosteroids. Ganaxolone is an allosteric modulator of GABAA receptors acting through binding sites which are distinct from the benzodiazepine binding site. It has activity in a broad range of animal models of epilepsy. Ganaxolone has been shown to be well tolerated in adults and children. In early phase II studies, Ganaxolone has been shown to have activity in adult patients with partial-onset seizures and epileptic children with history of infantile spasms. It is currently undergoing further development in infants with newly diagnosed infantile spasms, in women with catamenial epilepsy, and in adults with refractory partial-onset seizures.","1-[(1S,2S,5R,7S,10R,11S,14S,15S)-5-hydroxy-2,5,15-trimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]ethan-1-one",""
P14867; P28472; P18507,Muscimol,true,Muscimol has been used in trials studying the treatment of Epilepsy and Parkinson's Disease.,"5-(aminomethyl)-2,3-dihydro-1,2-oxazol-3-one",""
P47869; P18507; P34903; P31644; P14867,Lormetazepam,true,Lormatazepam is an orally available benzodiazepine used in the UK for the treatment of short-term insomnia [L927]. It is marketed by Auden Mckenzie (Pharma Division) in 0.5 and 1 mg tablet formulations.,"7-chloro-5-(2-chlorophenyl)-3-hydroxy-1-methyl-2,3-dihydro-1H-1,4-benzodiazepin-2-one",""
