,,DONOR #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilepsy genes,gene id,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
SYN1,499353079,0.1408,0.2454,0.3736,0.6323,0.1716,0.3941,0.2668,0.2555,0.1012,0.1353,0.9707,-0.6054,-0.4067,0.4766,0.319,0.0236,1.2833,0.2312,0.391,-0.0116,-0.4424,-0.343,0.3536,0.3011,0.0985,0.6897,0.5392,0.184,-0.4839,0.5119,0.1943,-0.8027,-0.6279,0.9522,1.0966,0.2722,0.0887,-0.3548,0.2414,0.5982,0.0799,0.4734,0.3525,0.0771,0.3731,0.1923,0.4035,0.8251,-0.3617,-0.0078,0.2562
LGI1,499331165,0.613,1.1241,1.0306,1.9747,0.7134,0.1792,1.4442,0.2732,0.0424,1.2419,1.8192,0.1568,0.846,0.5719,0.5494,0.0534,1.4796,1.5484,1.037,0.9394,0.2681,1.5858,1.0313,0.0148,0.2881,1.0012,1.4472,1.0698,0.4864,-0.402,-0.0723,1.0491,0.2987,1.7307,2.0366,0.6046,0.6686,0.442,-0.1984,0.745,0.8287,1.1205,1.1244,1.733,0.7836,0.9365,1.5593,0.8308,0.7295,0.1034,0.4463
LGI2,499316139,-1.0597,0.3283,-1.1438,-0.8233,-0.2186,-0.5612,-1.6498,-0.7783,-0.4412,-1.5588,-0.5585,-0.1849,-0.8965,-1.3076,-1.1997,-0.4465,-0.0427,-0.1711,-1.0979,0.27,-1.323,-1.0244,-0.7953,-0.6397,-0.1964,-1.2266,-1.2149,-1.2699,0.0193,0.0124,-0.2002,-1.5156,-1.3442,-1.4156,-0.4801,-0.6476,-0.3276,-0.6474,-1.274,-0.9806,-0.77,-0.5762,0.167,-1.1499,-0.0866,-0.716,-0.668,-1.1095,-1.6443,-0.541,-0.5286
GRM3,499324363,-0.9057,-0.3394,-0.8299,-0.5626,0.0703,-0.6127,-0.1694,-1.277,-0.7848,-1.4403,-1.3388,-0.3333,-0.1927,-0.2882,0.3717,0.4397,-2.6696,-1.4912,-0.7225,-0.5756,-0.5208,-0.9159,-0.6575,-0.7798,-0.5035,-1.6638,-0.5594,-0.7557,-0.1981,0.6265,-0.2911,-0.5072,-0.5934,-2.4066,-2.1363,-0.0753,-2.5087,-0.8515,-2.1943,-0.3004,-0.042,-0.2727,-1.3753,-0.3174,-0.813,0.2709,-0.5169,-1.3955,-1.1502,-1.3289,-0.3583
RTN4,499310141,-0.0365,-1.2827,-1.9899,0.3174,0.4157,-1.2276,-0.7605,-1.688,-1.5292,-1.5621,0.577,-1.0567,-0.4433,-0.9742,-0.736,-1.1019,-0.0308,-0.8359,-0.6406,-0.7296,-0.7945,-0.5864,-0.0428,-1.4793,-1.1595,-0.583,-1.0702,-0.9482,-1.231,-0.2307,-0.9074,-1.8379,-2.0495,-0.5396,0.3728,-1.1286,-1.7549,-2.2093,-1.1922,-1.0944,-0.6013,-0.2853,-0.9296,0.0718,-2.5475,0.4824,0.0825,-0.7453,-2.0566,-1.4376,-0.8975
CLIC5,499321578,0.0391,-0.8893,0.6391,-0.4344,-1.6892,0.0279,0.7775,-2.183,-0.3161,-1.1528,-0.7807,-2.4288,2.2034,1.0604,0.6453,-0.1429,-1.2549,-1.4615,-0.0033,0.3959,1.2772,0.0361,1.3205,-0.5522,0.7823,0.1427,-1.4726,-0.9309,-0.6482,0.7962,0.2511,-0.8852,-0.2425,-0.2066,0.2,0.3313,-1.7793,-0.0135,-0.7113,-0.8275,1.8195,0.2093,-0.7639,-0.0301,0.016,1.4304,0.014,-2.1563,0.6068,-1.5251,-0.0467
SCN1A,499311808,-0.9931,-0.1997,-0.7932,0.1058,-0.2923,-0.5521,-0.389,-0.4819,-0.2865,-0.5495,-0.0657,-0.7555,-0.5429,-0.5956,-0.4229,-0.5144,-0.1936,-0.5452,-0.6437,-0.262,-0.5856,-0.2519,-0.1054,-1.0804,-0.5004,-0.5876,-0.0672,-0.4132,-0.6118,-0.4964,-0.0724,-0.7349,-0.9058,-0.2439,-0.499,-0.2758,-0.4363,-1.0952,-1.3867,-0.6509,-0.3645,-0.5254,0.0328,-0.0208,-0.777,-0.443,-0.4021,-0.4051,-0.6803,-0.3676,-0.1443
GABRB3,499340551,0.5174,0.13,0.4746,1.0877,1.4392,0.6949,0.8514,0.4521,0.8062,0.459,1.1562,-0.0327,0.2798,0.4656,0.0972,-0.0291,1.317,0.9049,0.9074,0.5188,0.7094,0.7922,1.0305,0.4087,-0.0475,1.3564,0.7253,0.6835,-0.2925,0.4265,0.6292,0.1693,-0.2856,1.2352,1.2626,0.6401,0.2895,0.4073,0.2381,0.6782,0.5107,0.6441,0.7977,0.8664,0.2429,0.7719,1.1621,1.0174,-0.0102,0.429,0.5225
ABAT,499342332,-1.6296,0.197,-0.7571,0.3593,0.1874,-0.7089,-0.9737,-0.6138,-0.8573,-0.0605,-0.3325,-0.5579,0.4925,-0.7918,-0.3929,-0.6881,-0.2847,-0.5799,-0.5136,0.0057,0.2322,-0.594,-0.1563,0.3247,-0.3319,-1.0542,-0.5628,-0.6488,-0.8282,0.5598,-0.4431,-0.7553,-0.0111,-0.7998,-1.6344,-0.376,-1.4305,-1.0751,-0.9096,-0.3764,0.203,-0.4881,-0.6863,-0.2229,-0.3785,0.3199,0.3294,-0.8237,-1.1958,-1.3013,-0.3777
CACNA1I,499352301,-0.0314,0.7583,0.8942,0.8107,0.58,0.9091,0.9952,0.6843,0.9026,0.5438,1.1548,-0.3895,-0.4503,0.928,0.7336,0.4362,1.1575,0.7067,0.6206,0.6784,-0.1537,0.9479,0.555,0.0035,0.6355,1.4872,1.5704,0.3495,-0.1301,0.1056,1.0376,0.6309,0.2748,1.782,0.6215,0.8131,0.3882,0.3806,0.9509,0.7793,0.3626,0.9742,0.7571,0.3532,0.7838,0.2112,0.5538,1.2496,0.3602,0.7569,0.951
