epilepsy genes,gene id,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
JRK,499327524,0.8929,-0.3556,1.8486,0.4072,0.687,0.6736,-0.2835,0.7548,-0.1385,-0.5155,0.6242,1.5163,-0.6476,1.4772,-1.2906,0.8289,-0.4344,0.2847,0.9072,0.8087,0.5671,-1.0366,0.0776,0.3593,1.2173,-0.1825,1.3839,0.2832,0.6361,1.0419,1.2481,0.6588,0.2931,-1.6853,-0.7145,1.2593,-0.0476,-1.1725,1.445,0.6724,0.5916,1.78,0.7851,0.8698,0.9084,0.3295,0.0343,-0.1053
GABRA1,499320016,0.7874,0.802,0.954,0.2042,0.2477,0.4985,0.4216,0.7264,0.658,0.295,0.4149,0.2474,0.8034,0.7231,0.3976,0.2135,0.6697,0.4611,0.6978,0.6441,0.6162,0.0237,0.6771,0.6986,0.4164,0.4641,0.2717,0.2589,0.6575,0.6283,0.8444,0.2944,0.3374,-0.1457,0.1523,0.7714,0.6972,0.7659,0.4965,0.2376,0.9201,0.2048,0.4962,-0.008,0.569,0.5648,0.4736,0.8654
KCNJ3,499311676,0.8026,-0.0893,0.8374,-0.319,-0.0264,0.3601,0.3288,0.2418,0.3996,-0.3337,0.2404,-0.1347,0.6356,0.3869,-0.2223,0.1085,0.2634,0.2564,0.1269,0.6386,0.4722,-0.2413,0.5418,0.3208,-0.0313,0.0577,0.0977,0.1195,0.1482,0.3976,0.8424,0.0409,-0.3222,-0.233,-0.3312,0.4232,0.3643,0.5965,0.2107,-0.2196,0.6071,0.1658,0.0456,-0.2586,0.3835,0.1439,-0.0157,0.9178
MAPK10,499316848,0.89,0.7954,0.9892,0.1947,0.2425,0.4333,0.4045,0.4023,0.7759,0.0901,0.7205,-0.22,0.8615,0.7671,0.1416,0.2343,0.5547,0.5881,0.9358,1.0257,0.8027,-0.3786,0.7803,0.6602,0.1563,0.2412,-0.0807,-0.0286,0.4642,0.7866,0.7975,0.3273,-0.111,-0.5858,0.0853,0.6808,0.6153,0.9749,0.401,0.0316,1.0643,0.8169,0.5327,-0.5285,0.4416,0.481,0.3891,1.3501
GABRB3,499340551,0.5321,0.3243,0.7847,-0.0788,0.0561,0.2139,0.203,0.2718,0.3906,-0.3055,0.3203,-0.3321,0.7792,0.4924,-0.0208,0.1332,0.3002,-0.0015,0.3861,0.5657,0.5305,-0.1817,0.168,0.1642,0.0529,0.3174,-0.0634,0.0915,0.3464,0.4549,0.6359,-0.1692,-0.2008,-0.1763,-0.1049,0.3167,0.4535,0.7085,-0.0378,-0.1967,0.5935,0.2243,0.1056,-0.0043,0.0693,0.1159,0.1659,0.8028
GRIA1,499319908,0.0437,0.0719,0.0438,-0.3459,-0.2223,-0.1279,-0.141,-0.1486,0.0224,-0.4676,-0.0381,-0.4723,0.2721,0.0136,-0.3945,-0.3626,-0.0497,-0.5829,-0.1146,0.069,0.0498,-0.4896,-0.1727,-0.0867,-0.3233,-0.1197,-0.2921,-0.4196,0.053,-0.1059,0.132,-0.2015,-0.4797,-0.4869,-0.3998,-0.1377,-0.0471,0.1538,-0.1995,-0.2809,0.0583,-0.1562,-0.288,0.0216,-0.2369,-0.3437,-0.1584,0.0347
CLIC5,499321578,-0.5276,-0.5229,-0.3847,1.4742,-1.4368,-0.6518,-0.4966,0.3474,-1.4779,3.9695,0.2972,0.0388,-0.7306,-0.2836,0.984,0.2952,2.1055,0.7455,0.4462,1.743,-0.0377,1.2574,1.0781,-0.9806,-0.1474,-0.8026,0.6011,0.2866,0.577,0.3309,0.5687,0.3674,-1.0425,-0.7408,0.071,-0.6893,1.8952,-0.3393,2.1359,0.3324,0.6434,0.521,0.8337,0.0336,-1.0483,1.1088,-0.1239,1.3631
SYN1,499353079,0.9226,0.1514,0.6216,-0.0914,0.7088,0.4177,0.6779,0.465,0.6625,-0.2815,0.2383,0.3166,0.926,0.233,-0.1677,1.0022,0.207,-0.2428,0.539,0.7694,0.5333,0.013,0.1773,0.577,0.172,0.1706,0.6336,0.5029,0.5432,0.5326,1.0753,0.226,-0.2729,0.3401,0.1843,0.4177,0.6997,0.68,0.0563,0.2991,0.3332,0.3026,0.6441,0.892,0.1872,0.3564,0.0648,0.2005
CHRNA4,499350680,0.0494,0.7022,0.2428,0.897,-0.4458,0.581,0.5105,0.7844,0.3562,-0.4052,1.1167,0.1589,0.7445,-0.1671,-0.1105,1.0643,0.3767,0.4904,0.0131,0.3082,0.4025,-0.206,-0.0153,0.7573,0.6482,0.1961,1.1543,0.2735,0.7656,-0.645,1.1615,0.7567,-0.7347,-1.8469,0.7045,0.3982,0.4991,0.2005,0.8588,0.9727,-1.3906,0.9915,1.4574,0.3121,0.3636,-0.3215,0.2776,-0.0087
