epilepsy genes,gene id ,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
GRIA3,499354037,0.9434,0.545,0.439,0.4461,-0.4628,0.4812,0.4228,0.6359,0.6668,0.3849,0.5365,-0.0177,0.2469,0.5939,0.3789,0.4445,0.6006,0.4379,0.5384,0.6475,0.4818,0.5052,0.3568,0.47,0.2553,0.2422,0.6719,-0.0679,0.0052,0.999,0.4858,0.5215,0.4421,0.2813,0.4281,0.4401,0.4509,0.6318,0.6218,-0.2699,0.1529,-0.2248,0.526,0.5053,0.4888,0.5132,0.946,-0.1465,0.5683,0.8885,0.4912,0.8755,0.2577,0.0308,0.1021,0.114
CHRNA2,499326170,0.388,1.474,1.4281,0.5414,0.1792,1.3608,-0.0724,0.4029,0.1556,1.4179,-0.0762,1.3842,-0.1024,1.5666,-0.628,0.3202,0.9571,0.5589,0.3006,2.6923,0.5097,0.2816,1.2771,0.835,-0.3813,0.1664,0.5421,0.6827,1.7574,0.4101,0.709,1.0905,0.4467,0.5106,0.5424,0.2583,0.8248,0.0939,0.4959,1.2569,0.5999,1.3709,0.9995,0.4841,0.596,-0.1838,0.557,-0.1736,1.6278,1.4589,0.3024,0.7284,0.4478,0.7009,0.553,0.7889
GABRB2,499320010,0.8776,0.8816,0.6171,0.6589,0.1628,0.8445,0.3985,0.9674,0.5011,0.7875,0.6921,0.2076,0.6442,0.7812,0.5667,0.6855,0.6222,0.6872,0.3952,0.9086,0.6457,0.496,0.9419,0.7118,0.4999,0.6218,0.8453,0.2045,0.3484,1.0839,0.8329,0.6744,0.6634,0.3614,0.4894,0.6366,0.3817,0.9353,0.7962,0.4801,0.1993,0.1557,0.6687,0.7598,0.8087,0.5951,0.7126,0.3271,1.0667,0.65,0.4362,1.0334,0.6823,0.3112,0.6128,0.7213
GRIA1,499319908,0.1493,-0.1283,-0.1994,-0.1814,-0.4339,-0.1758,0.2775,-0.1248,-0.0134,0.0441,-0.1507,-0.3136,-0.0837,-0.3539,0.0221,-0.1443,-0.2631,0.0235,-0.1215,0.1769,-0.1839,0.0785,-0.2917,-0.0292,-0.0276,-0.1419,-0.1885,0.0746,-0.4029,0.2421,-0.3435,-0.1276,-0.1528,-0.057,-0.0601,-0.4051,0.007,-0.0217,-0.0938,-0.5676,0.017,-0.4824,-0.1394,-0.2053,0.0256,-0.2378,0.2098,-0.1951,-0.0843,-0.2299,0.2836,-0.045,-0.4276,-0.3668,-0.348,0.1837
DLGAP2,499325667,0.8297,0.7629,0.837,0.8505,-0.0606,0.4303,0.6484,0.9593,0.7688,0.779,0.7757,0.4258,0.674,0.8577,0.6945,0.4048,0.8217,0.59,0.8737,0.5981,0.8205,0.9693,0.2566,0.5326,0.3192,0.3177,0.85,0.3739,0.4673,0.8052,0.8966,0.5752,0.7758,0.8688,0.919,0.6008,0.9425,0.4955,0.6978,0.3651,0.139,0.7655,1.3115,1.0619,0.3442,0.8761,0.6072,-0.0495,0.4958,0.9849,0.7131,0.7836,0.6959,0.1613,0.462,0.79
OPRM1,499322792,0.7006,1.3183,0.2478,0.9253,0.3611,0.3702,0.9792,0.8784,0.4102,1.1014,0.5637,0.2283,1.0377,-0.1275,1.0689,0.7318,0.2837,0.9196,0.7311,1.1196,0.4343,1.2394,-0.0072,0.5828,1.4204,0.9032,0.484,1.3814,0.0804,1.1083,0.1998,0.7339,0.4235,0.7984,0.8091,0.571,0.9696,1.174,0.3902,0.0155,0.8081,0.8501,0.5956,0.4411,1.0884,0.4704,0.4693,1.0648,0.7184,0.7482,1.4206,0.0535,0.4384,0.4558,0.7635,0.875
CNTNAP2,499325421,1.2472,1.0116,0.834,0.8359,0.0022,1.1081,0.6188,1.1722,0.4364,1.0187,0.647,-0.0597,0.4943,1.0557,1.017,0.9356,0.8506,0.6656,0.8601,1.056,0.614,0.7301,0.9039,0.8224,0.2788,0.6581,1.0115,0.1508,0.2805,1.4078,1.0354,0.6529,0.9878,0.5643,0.9846,0.7544,0.4157,0.6326,1.1192,0.5867,0.2061,0.3001,0.9068,0.8962,0.7529,0.7805,1.1422,0.0096,1.3295,1.2159,0.7132,1.3024,0.9275,0.0235,0.4832,0.548
RTN4,499310141,1.3243,0.9047,0.3764,-0.2059,0.5026,1.3111,0.9845,0.6299,1.3478,0.3931,0.995,0.2829,0.8971,0.5103,0.86,0.8315,0.9363,0.7554,0.3865,0.9673,1.0816,0.7772,1.247,0.7764,0.6234,1.0123,0.6479,0.1691,0.045,2.0229,1.0662,0.7334,0.8224,-0.0786,0.2016,0.2291,-0.1834,1.5108,1.1817,-0.1799,-0.4306,-0.0331,0.2725,0.1275,1.0807,0.3434,2.7694,-0.3973,2.1933,0.2253,0.8686,1.9727,0.3283,0.0349,0.3853,1.1698
GABRE,499354400,-0.374,-1.0127,-0.2724,-0.2232,0.2252,0.6842,0.4376,0.9,0.449,-0.426,0.2989,1.7442,0.1946,-0.5589,-0.4132,-0.1166,-0.0684,-0.0212,0.085,0.5393,-0.5774,-1.0728,-0.0736,-0.5853,1.5643,-0.0223,-1.7876,0.6986,1.8614,0.3571,2.0354,-1.1328,-1.6099,-1.2802,0.2353,-0.4712,-0.7998,-0.3712,1.1578,1.186,1.105,-0.2753,-0.2896,-0.8357,-0.2376,0.0399,-0.346,0.735,1.559,-0.6284,0.5138,-0.8908,0.2617,0.8828,0.7771,0.0583
CHRNB2,499307542,0.7079,0.2221,0.7578,0.3794,-0.2069,0.3013,0.2735,0.1877,0.6963,0.6598,0.0112,0.5286,0.2364,0.4946,0.1319,0.2628,0.309,0.1352,0.7349,0.4716,-0.1708,0.6207,0.2513,0.5234,0.108,0.0943,0.4907,0.0344,-0.0772,0.3741,0.2922,0.5834,0.3208,0.8367,0.3406,0.3548,0.4261,0.2172,0.4669,-0.3201,-0.2538,-0.0226,0.9528,0.793,-0.3049,0.186,0.7182,-0.5425,0.6036,0.7827,0.4234,0.7174,0.2333,-0.1242,-0.0107,0.2301
