,,DONOR #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilepsy genes,gene id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
SCN1A,499311808,-0.5122,-0.6687,-0.2366,-0.2642,-0.2123,-0.4624,-0.5647,-0.7564,-0.5628,-0.9744,-1.021,-0.8141,-0.6857,-0.6529,0.702,-0.0026,-0.5792,-0.8321,-0.7104,-0.6049,-0.2947,-0.8521,-0.1507,-0.5254,0.2532,-1.2271,-0.6283,-0.3271,-0.4729,-0.6355,-0.2584,-0.5398,-1.0289,-0.4184,-0.3698
GABRB3,499340551,0.7217,0.7851,0.7077,0.562,1.011,0.3864,0.2236,0.5624,0.3749,0.1014,0.469,0.2053,1.0352,1.1414,0.82,1.098,0.7127,0.3252,0.6458,0.407,0.7466,-0.0572,0.8395,0.5932,0.0743,0.6679,0.6981,0.9217,0.8836,0.0141,1.1508,0.5324,-0.0734,0.4648,0.4354
ABAT,499342332,-0.7424,-0.9916,-0.7557,-0.708,-0.2449,0.0064,-0.3023,0.0644,-1.3419,-0.3638,-0.2358,-0.391,-0.1901,-0.3434,-0.3418,-1.716,-0.1468,-0.8295,-0.0597,-0.5028,0.1259,-1.1738,-0.3541,0.1983,-0.745,-0.3132,-0.4049,-0.5647,0.0304,-0.6269,-1.2727,-0.5206,0.0134,-0.567,-0.8277
CACNA1I,499352301,1.0803,0.6761,0.8901,0.9033,0.7424,0.3278,0.247,0.7548,1.4632,0.2373,0.2489,0.3409,0.8763,0.8917,0.7136,0.8253,0.7368,0.9698,0.7802,0.5384,0.5806,0.2127,0.3935,0.9028,0.2011,0.8391,-0.0318,0.9008,1.6399,-0.8985,1.7486,0.5762,0.4719,1.2328,0.7512
ATP1A2,499307767,0.6619,-0.076,-1.6984,0.7249,0.2168,0.9941,1.0424,0.6117,0.2828,-0.5498,0.9291,0.7362,0.7421,0.4057,-0.0765,-1.144,0.7903,0.2025,1.2834,0.1379,1.169,-0.9505,0.5309,0.711,-0.2609,0.9827,-1.0551,0.4852,0.2327,0.5754,-0.8776,0.2259,1.3014,0.914,0.2632
GABRE,499354400,-0.4026,0.1191,-0.1897,-0.8909,-0.6008,-0.9807,-0.7956,-1.8235,-0.1034,-0.3906,-0.481,-0.9643,-1.5447,-1.6856,0.1632,-0.5773,-0.6653,-0.8068,-0.9466,-0.6956,-1.3958,-0.3869,-0.2687,-0.6092,-0.1921,-1.3451,-1.9291,1.0992,-1.6938,0.2477,-0.8146,-0.7492,-0.8777,-0.7552,-1.071
KCNA1,499334723,0.4908,0.6085,0.8277,0.6723,0.4556,-0.2781,-0.2934,0.2214,0.3667,-0.4503,-0.3814,-0.5291,0.7426,0.7998,1.241,0.7388,0.3903,0.5403,0.8395,0.4099,-0.142,-0.9909,0.0713,0.6234,-0.2739,0.4691,0.2059,0.2368,1.0183,-0.2572,0.921,0.5111,-0.4897,0.5683,0.5552
DCX,499353886,-1.0614,-0.9866,-1.2332,-1.0266,-1.2236,-0.9917,-1.0371,-0.4591,-1.6082,-1.7609,-0.2472,-0.9898,-0.331,-1.5648,-0.7728,-1.597,-1.1274,-1.2372,-1.191,-1.605,-0.2265,-0.7234,-0.2203,-1.4586,-0.9058,-1.0439,-1.1001,-0.5912,-0.5505,-0.6624,-1.6604,-0.9744,-0.4779,-0.8558,-0.6114
OPRM1,499322792,-1.1638,-1.4308,-0.9123,-1.0503,-1.4321,-1.6075,-1.4473,-1.259,-1.0612,-1.715,-1.5637,-1.1934,-1.1509,-1.3244,-1.0225,-0.9076,-1.2426,-1.7128,-1.2326,-1.646,-1.2855,-1.6664,-1.0569,-1.0584,-1.6817,-1.4311,-1.0778,-1.483,-1.135,-1.5288,-1.4352,-1.2377,-0.2948,-1.8443,-1.2512
LGI3,499326069,-1.8243,-1.8402,-1.5175,-0.9605,-1.3775,-1.4459,-0.8203,-1.6706,-1.0979,-0.6471,-1.0688,-0.9234,-2.2274,-2.205,-2.2379,-2.0124,-0.9225,-1.02,-1.8415,-1.1157,-1.5389,-1.5473,-1.6866,-1.2246,-0.9971,-1.4953,-0.7492,-1.6612,-1.7801,-1.3084,-2.1113,-1.6639,-1.8294,-1.8435,-0.8002
TSC1,499329555,-0.1166,-1.7227,-1.5464,-0.7656,-0.7753,-0.5755,-1.7466,-0.6198,-1.2635,-1.6283,-1.059,-0.2377,-1.4645,-1.1028,-0.1192,0.0354,-0.5375,-1.9778,-1.9043,-0.6752,0.3815,-3.1054,-0.4951,-0.86,-1.0386,-1.6783,-1.1005,-0.2031,-0.2942,-1.2067,-1.894,-1.6337,0.1166,-1.5875,-1.0103
SCN1B,499348225,-0.9841,-0.7692,-0.5155,-0.639,-0.9521,-0.674,-1.087,-1.1378,-0.5936,-0.9638,-0.9656,-1.1593,-0.8571,-0.8546,-0.5158,-0.4008,-0.6288,-1.2624,-0.9037,-0.8206,-1.0927,-1.8361,-0.8675,-0.5965,-0.2442,-1.3007,-0.8952,-0.7905,-0.7041,-0.9569,-0.3345,-0.9053,-1.8934,-0.8086,-1.0196
TSC2,499342156,-0.1844,-1.2354,-0.2901,0.5409,-1.2926,-0.9798,-0.6616,-0.4581,0.0236,0.4447,0.3826,-0.6551,-1.7709,-0.6671,-1.9319,-0.5398,-1.0075,1.173,0.0451,-0.4447,-0.2724,-1.1914,-1.6299,-1.326,-2.5163,-0.6745,-0.7853,-1.1958,1.1895,-0.9105,-0.6524,-0.3627,-0.4692,0.3304,-1.5826
